time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.39932470654e-08,1.19053875516e-08,10.0064012735,6.2827935873,6.28303896257,0.0,1.1219284216e-05,-1.68558723885e-05,0.213359459538,-0.0246498154701,-0.00782829746425,0.0,472.39570848301076,471.7918369931838,471.85543448657586,469.9490671315854
0.12000000000000001,5.77150018961e-06,-1.52232973132e-05,10.0228456312,6.28124803852,6.28252163316,0.0,0.000229880360409,-0.000649923415226,0.334757180126,-0.0280752750416,-0.0102591417621,0.0,443.380963515881,443.1813614892119,444.26108514083666,443.980048515
0.18,3.53764234331e-05,-9.97863056961e-05,10.045492943,6.27933055434,6.2816627171,0.0,0.000828964361678,-0.0023471753344,0.420124592692,-0.0411455231535,-0.0240007286231,0.0,432.4626209894149,431.3038721533773,433.39830963717134,432.29810903701286
0.23999999999999996,0.000131421893243,-0.000352132697489,10.0788789261,6.2766240356,6.27990913289,0.0,0.00257234537057,-0.00639197469015,0.69261434659,-0.0545235851982,-0.0425397904322,0.0,489.32975096710777,487.9477001805941,489.4640592998921,488.4665615310177
0.3,0.000362415928701,-0.000883415344704,10.1233859498,6.27325112847,6.27785217471,0.0,0.00535795981705,-0.0116547758726,0.790886232925,-0.059831516911,-0.0214707130822,0.0,436.0895476801264,437.84506357790195,436.9917910678887,436.54694667619856
0.36000000000000004,0.000792576904462,-0.00178935182371,10.1726746834,6.26930716507,6.27625730259,0.0,0.00911663977886,-0.0189014711198,0.852022724491,-0.081407006305,-0.0395130133705,0.0,426.13166715618866,424.586520003621,425.6862367528187,423.83257161810576
0.4200000000000001,0.00148806722194,-0.00322196332792,10.2263268827,6.26433009418,6.27414057228,0.0,0.0142884455611,-0.0293425489006,0.936308737963,-0.0862313982438,-0.0279302482969,0.0,432.25470110014163,433.2289646843489,432.8060637276801,432.3940580540813
0.48000000000000015,0.0025487232012,-0.00541243184619,10.2865895445,6.25981830447,6.27256386213,0.0,0.0212400181117,-0.04418398253,1.07231606028,-0.0592183081802,-0.0231647143558,0.0,448.47210728138447,448.85882875491967,448.51305357974053,450.69665245947357
0.5400000000000001,0.00400889394141,-0.00847386025305,10.3503521898,6.25639164436,6.27132342482,0.0,0.0275431350356,-0.0581582604573,1.05311457612,-0.0531999330579,-0.0161078958477,0.0,398.18042312071947,398.82536122709735,398.3285023805186,398.8757715666097
0.6000000000000002,0.00587126785593,-0.0124408854037,10.4133252739,6.2526675864,6.26982557509,0.0,0.0346308941706,-0.0743627433391,1.04598505202,-0.0929702654282,-0.0558027028201,0.0,404.7397016314199,401.1511466922281,404.28599693516225,400.68305921263584
0.6600000000000003,0.00832182693887,-0.0177436411074,10.4850959668,6.24759164714,6.26671310311,0.0,0.0474741692643,-0.103082258826,1.34603723793,-0.0716528302683,-0.044994332224,0.0,496.79460587189095,497.58492988816243,497.2198607786683,498.7737309927936
0.7200000000000003,0.011500489123,-0.0246359984538,10.5676435598,6.24378334255,6.26401789699,0.0,0.058739035087,-0.127046169478,1.40545726853,-0.0507555075767,-0.0447720988057,0.0,425.6190847391529,425.6368423085868,425.15977965990544,426.94299144548097
0.7800000000000004,0.015472474355,-0.0331685125994,10.6570559233,6.24047926197,6.26098233699,0.0,0.0739731985138,-0.157716773987,1.5747135917,-0.0655009727896,-0.0659749490286,0.0,461.1578946230687,459.47852192071855,461.3134331929499,460.1457264880702
0.8400000000000004,0.0203832299431,-0.0435266139824,10.7544660286,6.2362748432,6.25725916511,0.0,0.0901049562609,-0.187958627832,1.6721215652,-0.0812910318553,-0.055182653563,0.0,437.9476851169857,438.8414826075401,439.8915438906028,438.57822230843357
0.9000000000000005,0.0263141586616,-0.0557496755631,10.8568839682,6.23130692376,6.25407304491,0.0,0.107906378583,-0.219951809114,1.74166989639,-0.0859963761162,-0.0492368323389,0.0,429.8085068304773,430.31012571150654,430.6687291033794,430.26474875074763
0.9600000000000005,0.0335511330974,-0.0703050564433,10.9694011748,6.22631547951,6.25116378785,0.0,0.133684624581,-0.265847199077,2.00842085762,-0.0781021718874,-0.0470302531791,0.0,490.9835229090714,491.1459913686677,489.19505801353944,489.7775125536151
1.0200000000000005,0.0421031207979,-0.0871982473867,11.0885333131,6.22142076912,6.24806242649,0.0,0.151620544564,-0.29764898611,1.96269418066,-0.0896344978995,-0.0631757586081,0.0,393.8781458126517,392.3799819489156,392.6525042376623,391.5747697310338
1.0800000000000005,0.0520508553829,-0.106547463237,11.2123299044,6.21599831201,6.24386850064,0.0,0.180418051402,-0.347933641665,2.16343242971,-0.0918953875657,-0.0888125325211,0.0,473.2331837694418,471.25211376807147,472.025782304326,471.8449624293773
1.1400000000000006,0.0637655206883,-0.128929323379,11.3464942148,6.21031951121,6.2384032007,0.0,0.210645588254,-0.398716018994,2.30834972808,-0.100806537533,-0.0960761126192,0.0,456.38100346066494,455.79413976445437,456.67665860050164,455.9579367674364
1.2000000000000006,0.0773444910195,-0.154369843908,11.4877836217,6.20446089903,6.23227698734,0.0,0.242574116946,-0.449886784997,2.40101756441,-0.0919724721019,-0.118239710411,0.0,441.4004737385499,439.55818306748216,440.56551644537404,441.2870130457421
1.2600000000000007,0.0931996329059,-0.183348970042,11.6390018559,6.19898801323,6.22491206562,0.0,0.286786617321,-0.516712853281,2.63894520055,-0.0897418719648,-0.133764885805,0.0,484.93217689498334,483.75213635739016,485.99237582019475,486.1533236322662
